blast_count_7d,avg_blast_intensity,rainfall_mm_24h,rainfall_mm_7d,crack_count_7d,avg_crack_score,critical_crack_flag,elevation_m,area_sq_km,days_since_inspection,is_monsoon,risk_score,risk_label
8,3.51,0.0,0.0,2,0.726,1,738.3,444.7,32,0,0.2647,yellow
5,7.02,0.0,0.0,2,0.372,0,764.1,487.1,17,0,0.1886,green
2,6.87,1.21,98.93,8,0.176,0,210.8,252.0,47,0,0.2214,green
16,3.77,0.0,0.0,11,0.509,0,581.8,132.7,29,0,0.4173,yellow
1,4.15,7.18,15.57,0,0.0,0,546.1,251.3,68,1,0.1304,green
16,1.39,3.13,103.26,11,0.94,1,772.4,458.3,36,1,0.4947,orange
16,5.97,0.14,164.72,2,0.98,1,245.2,159.8,31,0,0.418,yellow
9,9.43,0.0,0.0,9,0.93,1,242.2,112.4,46,0,0.4546,yellow
1,3.29,6.27,15.06,9,0.877,1,644.5,351.5,42,1,0.3556,yellow
12,1.73,30.71,216.11,6,0.502,0,679.0,328.5,15,1,0.3941,yellow
14,4.38,7.24,41.06,1,0.438,0,603.2,170.8,57,1,0.3002,yellow
9,8.4,2.27,5.21,5,0.537,0,396.0,415.7,59,0,0.3169,yellow
3,8.58,0.0,0.0,3,0.411,0,619.7,77.8,15,0,0.1883,green
16,4.59,0.0,12.95,2,0.439,0,247.1,22.4,61,1,0.3739,yellow
8,7.2,0.0,0.0,0,0.0,0,304.0,86.7,33,0,0.1548,green
12,3.52,0.0,0.0,6,0.657,0,461.4,367.7,66,0,0.3256,yellow
15,2.43,1.47,0.96,5,0.014,0,269.6,32.5,61,1,0.3112,yellow
15,8.26,0.0,0.0,3,0.173,0,460.3,205.3,9,0,0.3249,yellow
1,3.35,0.0,0.0,9,0.626,0,501.9,429.7,68,0,0.2527,yellow
1,1.24,0.0,0.0,10,0.801,1,606.3,290.9,32,0,0.3023,yellow
10,9.47,1.98,12.54,2,0.82,1,590.9,111.3,28,1,0.4001,yellow
9,1.21,0.0,46.57,1,0.261,0,497.6,349.5,74,1,0.2408,yellow
3,4.76,0.0,0.0,8,0.548,0,454.1,288.6,48,0,0.2262,green
4,3.15,0.02,9.15,6,0.751,1,652.7,60.5,16,1,0.3251,yellow
12,9.06,0.0,0.0,0,0.0,0,232.1,479.7,18,0,0.2084,green
14,1.75,0.0,0.0,4,0.293,0,397.2,339.5,52,0,0.2556,yellow
6,1.82,0.0,0.0,9,0.974,1,797.6,37.4,34,0,0.337,yellow
11,7.19,0.0,0.0,9,0.618,0,260.7,51.2,12,0,0.3653,yellow
1,1.73,0.0,21.44,4,0.233,0,548.8,432.9,85,1,0.1676,green
6,4.91,0.0,8.97,1,0.469,0,233.8,68.2,60,0,0.1952,green
12,3.14,0.0,0.0,8,0.375,0,371.4,435.6,37,0,0.3271,yellow
14,9.02,64.08,95.14,5,0.925,1,751.5,134.0,18,1,0.5316,orange
17,2.5,0.0,0.0,0,0.0,0,617.4,232.7,53,0,0.2499,yellow
9,9.55,0.0,0.0,7,0.395,0,264.1,174.5,35,0,0.313,yellow
17,3.39,1.57,106.44,4,0.974,1,791.7,352.1,16,1,0.4646,yellow
15,2.46,0.0,1.68,2,0.823,1,769.9,365.6,46,0,0.3336,yellow
9,9.39,0.0,0.85,1,0.552,0,298.9,211.5,64,0,0.2867,yellow
16,8.54,0.57,12.75,1,0.037,0,280.3,16.7,54,0,0.2854,yellow
16,5.81,0.0,0.0,4,0.997,1,533.3,386.8,36,0,0.427,yellow
8,2.16,0.0,1.61,2,0.275,0,324.3,440.3,31,0,0.2002,green
7,1.2,1.32,30.91,9,0.52,0,663.4,264.9,11,0,0.2362,green
4,6.58,0.0,0.0,1,0.805,1,741.9,312.5,37,0,0.3109,yellow
14,4.94,0.0,0.0,1,0.348,0,508.4,394.0,29,0,0.2794,yellow
3,5.13,0.0,0.0,0,0.0,0,495.3,136.5,87,0,0.1197,green
5,5.43,6.24,55.39,10,0.58,0,404.9,273.3,22,1,0.3434,yellow
2,8.87,0.44,23.15,10,0.668,0,303.4,104.2,18,1,0.3142,yellow
17,3.51,0.0,0.0,5,0.089,0,272.4,235.8,89,0,0.2928,yellow
14,6.65,12.62,455.38,7,0.874,1,752.5,39.9,25,1,0.4977,orange
7,7.73,4.85,126.92,3,0.209,0,422.3,247.4,89,1,0.2991,yellow
13,2.33,0.0,21.48,2,0.713,1,737.1,260.7,17,0,0.3494,yellow
4,2.64,0.0,0.0,6,0.322,0,326.9,170.5,43,0,0.1693,green
9,8.1,0.0,0.0,1,0.087,0,522.3,297.6,7,0,0.1645,green
8,4.04,0.37,19.9,3,0.646,0,542.5,184.5,69,0,0.2329,green
5,4.29,0.0,47.51,3,0.851,1,252.7,404.9,23,0,0.2863,yellow
2,5.72,0.0,0.0,7,0.697,1,798.4,449.3,83,0,0.287,yellow
10,6.14,0.8,0.88,2,0.839,1,323.0,484.3,67,0,0.3664,yellow
0,0.0,0.0,0.0,3,0.242,0,268.9,309.2,63,0,0.0873,green
10,6.34,0.0,18.91,5,0.337,0,280.6,41.1,43,0,0.255,yellow
7,8.29,0.0,0.0,0,0.0,0,283.3,11.3,8,0,0.1332,green
16,8.66,20.27,0.0,11,0.965,1,274.6,368.1,8,1,0.6293,orange
2,1.6,15.63,172.64,7,0.722,1,228.9,392.9,10,1,0.2955,yellow
4,8.33,4.81,90.7,10,0.634,0,744.7,164.9,41,1,0.376,yellow
7,5.07,0.0,0.0,7,0.377,0,477.6,157.7,22,0,0.2833,yellow
14,4.46,0.0,0.0,4,0.906,1,574.5,67.3,5,1,0.4006,yellow
7,7.24,0.0,0.0,3,0.794,1,572.0,271.4,26,0,0.3028,yellow
4,8.01,0.0,0.11,0,0.0,0,220.1,289.2,9,0,0.1206,green
9,4.08,23.63,119.3,5,0.536,0,427.3,233.9,51,1,0.3691,yellow
14,4.68,0.0,0.0,1,0.012,0,559.1,287.1,25,0,0.2067,green
10,9.63,0.0,0.0,7,0.583,0,440.5,236.4,45,0,0.3633,yellow
0,0.0,0.0,44.6,7,0.872,1,759.3,286.9,67,1,0.3013,yellow
4,7.37,4.56,73.77,9,0.771,1,424.7,43.8,50,1,0.4094,yellow
0,0.0,0.0,14.2,4,0.985,1,703.3,71.1,56,0,0.2259,green
7,6.47,0.8,82.51,8,0.744,1,323.3,396.0,25,1,0.3852,yellow
10,9.31,0.0,27.26,6,0.347,0,642.5,231.6,42,1,0.3244,yellow
6,2.49,0.0,0.0,4,0.915,1,417.4,294.5,21,0,0.2723,yellow
8,2.34,0.0,1.25,5,0.861,1,521.0,100.4,70,0,0.319,yellow
12,4.58,0.0,0.0,2,0.21,0,738.8,110.5,28,0,0.1989,green
17,3.65,0.0,0.0,2,0.453,0,514.6,226.0,37,0,0.3382,yellow
6,7.78,96.73,127.41,9,0.271,0,586.4,210.3,86,1,0.4099,yellow
7,1.94,0.0,5.45,4,0.179,0,591.6,126.7,33,0,0.1903,green
13,6.43,0.0,0.0,10,0.963,1,766.6,79.1,13,0,0.4691,yellow
6,7.62,0.0,0.0,4,0.027,0,308.9,295.7,59,0,0.1909,green
0,0.0,0.0,20.72,4,0.342,0,355.7,196.0,86,1,0.1942,green
11,2.98,4.93,0.14,9,0.764,1,284.1,435.5,58,1,0.4336,yellow
16,5.36,0.0,0.0,0,0.0,0,361.2,275.4,24,0,0.2189,green
12,7.22,0.0,0.0,4,0.018,0,748.6,67.7,40,0,0.2427,yellow
4,6.86,0.0,0.5,9,0.72,1,263.9,78.6,26,0,0.3597,yellow
12,8.54,0.59,24.41,4,0.383,0,511.4,33.0,53,1,0.3945,yellow
3,7.94,0.0,0.0,4,0.837,1,462.3,458.6,58,0,0.3146,yellow
14,9.59,0.0,0.0,5,0.733,1,329.0,25.3,19,0,0.3836,yellow
10,8.62,0.0,0.0,10,0.597,0,400.5,387.7,72,0,0.3873,yellow
10,6.38,0.0,0.0,8,0.246,0,691.5,401.7,43,0,0.2841,yellow
1,1.93,0.0,1.01,4,0.092,0,750.4,77.0,73,0,0.1144,green
15,8.86,4.9,55.83,7,0.639,0,655.4,364.8,79,1,0.515,orange
17,5.4,0.0,0.0,10,0.988,1,766.4,29.3,9,0,0.4696,yellow
14,7.28,0.0,0.0,8,0.193,0,269.2,216.7,81,0,0.4051,yellow
6,5.1,0.0,12.79,10,0.829,1,222.2,302.2,59,1,0.4443,yellow
11,6.15,33.46,594.92,7,0.539,0,674.4,166.2,81,1,0.4502,yellow
12,6.54,0.0,0.0,1,0.024,0,722.1,20.4,12,0,0.2181,green
13,4.16,0.0,54.93,0,0.0,0,441.2,245.1,56,0,0.2068,green
11,9.86,0.0,0.0,9,0.092,0,401.8,266.0,64,0,0.3222,yellow
17,3.67,0.0,0.0,4,0.042,0,210.7,494.0,72,0,0.2897,yellow
3,2.96,0.0,0.0,9,0.798,1,355.4,298.4,38,0,0.3459,yellow
3,3.09,0.0,46.9,3,0.838,1,338.3,417.0,73,0,0.2506,yellow
8,2.68,12.31,1.4,2,0.826,1,680.5,318.6,86,0,0.3448,yellow
2,8.34,0.0,34.62,5,0.623,0,648.7,27.1,67,1,0.2841,yellow
1,5.12,2.65,30.46,7,0.266,0,277.7,445.5,24,0,0.1785,green
1,4.68,36.33,19.95,5,0.26,0,634.1,253.0,69,1,0.233,green
4,9.92,0.0,0.0,1,0.495,0,488.4,300.3,57,0,0.2558,yellow
0,0.0,0.0,0.0,5,0.521,0,720.9,130.2,58,0,0.1547,green
12,7.28,0.0,9.88,9,0.106,0,619.4,102.7,4,0,0.2893,yellow
17,8.36,0.0,24.41,11,0.006,0,372.2,312.3,16,0,0.3584,yellow
12,8.02,0.0,4.83,5,0.283,0,211.1,221.8,62,0,0.2856,yellow
3,2.56,0.0,11.42,3,0.068,0,380.6,357.0,21,0,0.094,green
0,0.0,3.1,87.58,5,0.621,0,227.4,437.1,63,1,0.1982,green
11,1.22,0.0,2.26,10,0.822,1,423.1,411.2,74,1,0.4919,orange
1,3.46,0.0,6.67,3,0.426,0,470.8,90.2,28,0,0.1123,green
13,3.07,19.46,24.22,10,0.273,0,770.5,84.0,20,1,0.3899,yellow
5,7.84,0.0,0.12,4,0.984,1,445.6,448.1,14,0,0.307,yellow
11,6.06,0.0,0.0,11,0.473,0,780.9,100.9,16,0,0.3574,yellow
7,7.94,23.51,8.29,1,0.761,1,575.7,74.3,52,1,0.3695,yellow
6,2.13,15.59,96.77,11,0.248,0,535.0,120.5,59,1,0.2896,yellow
1,8.18,0.0,60.38,10,0.984,1,289.7,237.7,63,0,0.3728,yellow
12,7.81,0.0,0.0,11,0.78,1,223.8,245.4,87,0,0.4766,yellow
13,2.28,18.43,55.94,5,0.618,0,621.5,284.2,31,1,0.3873,yellow
6,2.19,8.71,142.85,6,0.201,0,615.9,412.5,43,1,0.2539,yellow
2,9.07,0.0,0.0,8,0.936,1,231.2,275.2,75,0,0.3683,yellow
14,8.33,7.4,160.54,6,0.661,0,531.8,302.8,21,1,0.4493,yellow
2,1.37,29.71,182.99,11,0.732,1,249.0,39.6,86,1,0.3851,yellow
13,4.03,0.0,0.0,7,0.872,1,460.2,31.4,43,0,0.4537,yellow
4,9.97,0.54,22.03,8,0.493,0,248.9,207.6,60,1,0.3366,yellow
4,4.11,0.0,0.0,11,0.768,1,502.9,276.2,50,0,0.3083,yellow
3,1.26,4.3,49.78,1,0.487,0,724.1,451.3,5,1,0.1523,green
17,6.68,20.05,25.74,0,0.0,0,278.9,360.8,86,1,0.3189,yellow
1,2.63,0.0,0.0,4,0.069,0,462.3,57.7,13,0,0.0415,green
5,6.87,0.0,0.0,8,0.969,1,354.9,331.8,64,0,0.3799,yellow
12,3.13,1.02,9.93,10,0.884,1,465.2,172.1,9,1,0.442,yellow
7,6.55,3.38,56.86,0,0.0,0,351.5,186.0,27,1,0.2064,green
16,8.6,0.0,1.32,11,0.446,0,718.5,283.5,60,1,0.4804,orange
0,0.0,0.0,0.0,6,0.225,0,308.0,53.4,32,0,0.0922,green
9,4.58,0.0,0.0,1,0.965,1,203.0,476.4,49,0,0.3256,yellow
5,2.26,0.0,0.0,3,0.705,1,321.1,340.0,84,0,0.2736,yellow
7,2.41,0.0,0.0,5,0.868,1,306.3,349.4,54,0,0.3142,yellow
17,6.56,0.0,0.0,7,0.865,1,661.1,65.4,88,0,0.4982,orange
0,0.0,0.0,0.0,2,0.941,1,696.1,336.8,89,0,0.1927,green
8,8.8,42.3,21.82,8,0.871,1,669.4,287.8,74,1,0.4888,orange
5,3.94,0.04,60.87,5,0.438,0,740.8,440.2,22,1,0.2789,yellow
6,1.05,0.0,0.0,0,0.0,0,419.9,204.1,20,0,0.0787,green
0,0.0,0.0,1.52,0,0.0,0,527.4,227.8,89,0,0.0159,green
1,5.17,0.0,0.0,2,0.542,0,770.9,425.1,27,0,0.1558,green
11,2.34,0.0,0.0,4,0.246,0,486.0,203.2,86,0,0.2606,yellow
10,1.07,0.0,0.0,4,0.898,1,346.1,464.2,14,0,0.3307,yellow
12,4.16,0.0,0.0,1,0.166,0,570.4,266.3,26,0,0.2092,green
9,6.49,0.0,0.0,1,0.4,0,786.0,413.4,74,0,0.2582,yellow
11,2.63,0.17,41.41,6,0.295,0,676.0,100.8,55,0,0.2653,yellow
11,1.39,0.0,0.0,9,0.112,0,201.6,322.6,20,0,0.2567,yellow
8,8.14,0.0,0.0,9,0.175,0,416.5,453.9,23,1,0.3004,yellow
3,4.81,0.0,0.0,9,0.81,1,660.0,83.4,54,0,0.3092,yellow
16,7.63,0.0,7.17,1,0.473,0,521.2,97.4,36,0,0.3465,yellow
9,3.31,0.0,0.0,8,0.497,0,792.7,76.9,84,0,0.3359,yellow
6,7.52,6.74,53.27,10,0.991,1,277.0,61.0,89,0,0.4468,yellow
4,9.05,0.0,0.0,2,0.401,0,420.2,178.3,67,0,0.2093,green
1,7.03,10.92,57.62,11,0.234,0,524.0,441.2,49,1,0.2664,yellow
5,1.47,0.0,0.0,11,0.662,0,534.7,368.0,29,0,0.2843,yellow
11,1.8,0.0,2.12,4,0.175,0,614.0,108.5,79,0,0.2017,green
16,3.71,0.0,0.0,7,0.795,1,756.3,125.0,4,0,0.3782,yellow
11,3.19,67.05,267.45,4,0.093,0,354.2,396.1,31,1,0.3283,yellow
13,2.06,0.0,0.0,6,0.263,0,416.1,52.9,72,0,0.2814,yellow
3,8.86,0.0,0.16,5,0.919,1,498.2,496.2,11,0,0.3006,yellow
13,8.25,13.81,53.44,6,0.305,0,248.6,207.5,65,1,0.4221,yellow
2,4.11,0.0,0.0,3,0.573,0,759.6,291.8,53,0,0.1957,green
15,7.88,0.0,0.0,3,0.503,0,439.2,81.7,7,0,0.2912,yellow
3,2.22,5.38,131.41,3,0.08,0,666.0,69.8,12,1,0.1722,green
1,6.85,0.0,0.0,2,0.386,0,538.7,104.0,88,0,0.1622,green
10,7.79,0.0,0.0,7,0.297,0,458.2,93.6,20,0,0.2806,yellow
15,1.56,3.93,26.76,3,0.633,0,337.3,124.0,51,0,0.298,yellow
3,5.74,0.0,0.0,6,0.724,1,675.3,208.4,6,0,0.2299,green
4,1.1,0.0,0.0,1,0.134,0,451.1,397.3,20,0,0.1422,green
6,6.57,0.0,0.0,4,0.834,1,577.6,107.4,44,0,0.3164,yellow
3,8.78,0.0,0.0,11,0.652,0,686.4,310.9,28,0,0.2956,yellow
12,2.2,24.34,175.57,0,0.0,0,595.2,472.0,1,1,0.197,green
7,5.15,0.0,45.28,10,0.495,0,431.8,230.6,48,1,0.3443,yellow
12,2.35,0.22,32.95,11,0.512,0,608.1,30.4,86,1,0.4066,yellow
16,9.61,0.0,0.0,4,0.388,0,477.2,495.9,51,0,0.3676,yellow
6,8.05,0.0,13.17,2,0.174,0,259.0,333.5,7,0,0.1958,green
1,7.01,0.0,0.0,2,0.121,0,569.0,389.6,40,0,0.1044,green
17,3.9,0.0,0.0,3,0.293,0,788.0,304.9,52,0,0.3092,yellow
1,2.15,4.33,10.23,0,0.0,0,756.9,120.1,24,1,0.1092,green
17,9.49,0.0,0.0,3,0.122,0,318.5,444.6,20,0,0.3355,yellow
14,3.27,0.0,20.93,4,0.978,1,648.9,283.3,22,1,0.4284,yellow
10,3.42,4.49,122.66,11,0.043,0,298.9,74.5,78,1,0.3249,yellow
10,7.82,18.11,27.93,0,0.0,0,505.0,155.8,18,0,0.1952,green
6,6.19,0.0,0.0,8,0.761,1,296.0,236.2,15,0,0.3461,yellow
3,1.89,0.0,11.12,9,0.658,0,386.6,373.8,45,0,0.2535,yellow
1,4.2,0.0,30.25,8,0.554,0,203.1,382.9,53,1,0.2831,yellow
15,2.34,23.15,142.91,6,0.47,0,501.2,71.1,3,1,0.3939,yellow
2,2.24,2.32,71.39,5,0.413,0,617.4,11.6,37,1,0.2042,green
6,5.33,0.0,10.92,2,0.065,0,548.0,285.1,3,0,0.1309,green
17,6.42,3.75,95.67,11,0.825,1,499.0,47.8,21,1,0.5783,orange
15,4.36,0.0,2.97,6,0.736,1,341.5,192.0,46,0,0.4275,yellow
12,2.56,0.0,61.16,5,0.636,0,671.4,68.0,69,0,0.3205,yellow
2,1.24,0.0,0.0,0,0.0,0,551.5,297.4,69,0,0.0353,green
9,8.67,6.18,40.89,9,0.873,1,705.2,101.2,48,1,0.4961,orange
3,1.45,0.1,0.42,6,0.496,0,462.1,367.5,69,1,0.2432,yellow
3,1.12,0.0,2.86,7,0.057,0,369.3,138.2,34,1,0.2021,green
9,8.6,0.0,0.0,5,0.065,0,492.5,26.5,83,0,0.2496,yellow
10,2.25,0.0,55.99,3,0.315,0,663.1,52.3,14,1,0.2578,yellow
11,8.09,0.0,0.0,8,0.494,0,787.7,81.0,86,0,0.3748,yellow
16,5.18,4.76,201.31,8,0.947,1,780.4,99.7,32,1,0.524,orange
0,0.0,11.37,166.2,0,0.0,0,788.3,121.4,27,1,0.0691,green
16,6.52,10.05,738.07,5,0.847,1,457.2,79.1,21,1,0.541,orange
15,5.14,0.0,0.0,6,0.545,0,237.4,261.1,59,0,0.3775,yellow
16,2.81,2.51,27.1,6,0.872,1,526.9,381.6,85,1,0.4766,yellow
8,6.04,0.0,0.0,11,0.772,1,216.3,42.0,2,0,0.3899,yellow
0,0.0,0.0,0.0,9,0.498,0,263.3,331.8,88,0,0.1726,green
10,2.83,0.0,0.0,9,0.094,0,414.0,381.2,84,0,0.2683,yellow
8,4.56,0.0,51.08,7,0.52,0,468.6,283.3,1,1,0.328,yellow
17,2.52,0.0,2.94,5,0.141,0,321.2,100.3,31,0,0.2814,yellow
5,9.71,11.54,32.68,2,0.882,1,682.2,257.6,15,1,0.3656,yellow
12,3.91,0.0,0.0,11,0.882,1,456.5,89.5,26,0,0.4381,yellow
2,5.75,0.0,0.55,8,0.823,1,325.9,195.7,60,0,0.2885,yellow
11,9.89,5.23,126.27,1,0.822,1,475.6,185.3,85,1,0.4288,yellow
15,7.41,12.99,171.37,7,0.087,0,631.4,215.9,33,1,0.3772,yellow
15,6.2,2.61,6.47,0,0.0,0,704.9,240.9,14,1,0.2341,green
0,0.0,15.28,69.87,3,0.739,1,263.8,164.3,27,1,0.2171,green
0,0.0,0.0,0.0,7,0.073,0,246.2,176.8,57,0,0.1142,green
2,7.87,0.0,0.0,4,0.653,0,763.0,436.9,38,0,0.2261,green
1,5.02,117.55,60.84,5,0.227,0,429.0,73.1,18,1,0.2874,yellow
16,1.38,0.0,0.0,7,0.027,0,779.7,72.5,82,0,0.3154,yellow
8,3.74,0.0,0.0,6,0.533,0,581.1,230.4,37,0,0.2691,yellow
16,3.18,6.77,153.95,0,0.0,0,481.3,157.6,74,1,0.3132,yellow
7,8.9,4.94,23.95,5,0.892,1,311.2,48.7,61,1,0.4586,yellow
2,3.41,0.0,33.69,1,0.573,0,595.3,133.6,66,0,0.1941,green
8,7.02,0.0,0.0,0,0.0,0,238.8,478.4,7,0,0.1465,green
7,3.85,0.0,0.0,11,0.464,0,282.5,177.0,51,0,0.339,yellow
3,7.09,0.0,0.0,11,0.104,0,430.7,249.0,85,0,0.2281,green
8,5.56,0.0,0.0,6,0.407,0,734.9,11.4,60,0,0.2566,yellow
9,9.74,0.0,0.0,0,0.0,0,573.5,240.2,47,0,0.1981,green
12,5.83,2.34,91.83,0,0.0,0,204.6,117.3,42,1,0.2461,yellow
16,2.97,0.0,0.0,9,0.293,0,759.1,204.5,36,0,0.3582,yellow
6,6.17,0.0,0.99,6,0.494,0,621.4,496.5,76,0,0.2988,yellow
12,6.47,0.17,7.37,0,0.0,0,694.3,478.0,68,0,0.2017,green
13,1.46,0.0,0.0,6,0.041,0,723.0,135.8,67,0,0.2342,green
14,4.77,0.0,0.0,3,0.9,1,442.5,167.3,40,0,0.3453,yellow
8,6.82,0.0,90.38,2,0.594,0,206.1,321.7,72,1,0.3412,yellow
1,5.77,0.0,0.0,2,0.534,0,285.3,15.7,11,0,0.152,green
0,0.0,1.99,17.07,6,0.577,0,226.2,70.3,48,1,0.1995,green
5,8.61,0.0,0.0,5,0.852,1,442.3,48.0,72,0,0.319,yellow
11,8.19,0.0,0.0,2,0.45,0,547.6,382.1,22,0,0.2874,yellow
0,0.0,0.0,0.0,7,0.375,0,300.1,221.0,67,0,0.1098,green
14,2.39,0.0,0.0,9,0.646,0,582.1,176.9,10,0,0.3688,yellow
1,8.58,0.0,0.0,7,0.988,1,472.4,347.3,49,0,0.3064,yellow
2,9.68,5.69,25.59,3,0.099,0,325.3,463.6,50,1,0.1832,green
5,6.43,0.0,0.0,11,0.545,0,252.9,307.4,16,0,0.2824,yellow
3,9.82,0.78,109.39,8,0.554,0,525.0,383.3,86,0,0.2677,yellow
16,5.57,0.0,0.0,11,0.235,0,698.4,277.0,0,0,0.3497,yellow
2,2.35,3.34,6.9,1,0.489,0,441.1,497.0,81,1,0.2205,green
6,4.56,0.0,0.0,11,0.853,1,626.5,454.4,63,1,0.4727,yellow
1,7.5,0.0,0.0,11,0.038,0,647.5,279.2,4,0,0.1741,green
16,9.54,0.0,0.0,9,0.981,1,490.0,433.1,54,1,0.5933,orange
10,2.83,0.0,0.0,7,0.441,0,563.5,460.2,80,0,0.3161,yellow
12,5.29,12.75,47.55,8,0.059,0,201.9,323.7,71,1,0.3493,yellow
5,3.3,0.34,0.21,4,0.51,0,576.0,463.9,79,0,0.2633,yellow
1,4.0,0.0,0.0,2,0.211,0,774.5,14.3,18,0,0.1056,green
16,1.81,0.0,0.0,6,0.044,0,405.1,320.1,14,0,0.2722,yellow
8,7.9,0.0,22.45,3,0.7,1,262.6,205.6,33,1,0.3602,yellow
3,4.66,0.0,0.0,5,0.306,0,529.5,319.7,76,0,0.1917,green
7,2.02,0.0,0.0,1,0.795,1,624.3,34.6,65,0,0.2804,yellow
14,2.9,0.0,0.0,1,0.281,0,682.1,465.3,54,0,0.2409,yellow
8,2.97,4.96,25.31,4,0.215,0,449.7,382.2,30,1,0.2594,yellow
9,6.27,0.54,33.47,7,0.555,0,582.3,267.9,49,1,0.3778,yellow
3,2.29,0.0,0.0,6,0.721,1,440.9,87.7,33,0,0.264,yellow
1,7.5,0.0,0.0,8,0.749,1,390.6,10.1,25,0,0.306,yellow
17,5.2,0.0,13.67,5,0.247,0,644.5,165.0,10,0,0.3473,yellow
8,8.58,3.93,19.5,11,0.572,0,744.3,472.1,82,1,0.422,yellow
4,2.04,0.0,0.0,6,0.494,0,432.6,320.0,54,0,0.2192,green
10,7.0,1.32,46.86,0,0.0,0,367.1,73.5,67,1,0.2295,green
11,10.0,26.71,150.01,0,0.0,0,416.0,478.8,27,1,0.3131,yellow
15,2.88,0.0,6.08,2,0.37,0,231.4,386.1,81,1,0.2972,yellow
8,6.92,0.14,3.38,10,0.73,1,588.6,400.2,86,0,0.4371,yellow
7,6.86,0.0,0.12,1,0.737,1,784.8,35.6,27,0,0.2651,yellow
10,4.31,0.0,0.49,8,0.823,1,669.2,276.5,46,0,0.3976,yellow
12,4.41,0.35,68.46,7,0.838,1,625.6,474.9,34,1,0.3974,yellow
10,8.9,0.0,0.0,9,0.519,0,606.5,162.8,27,0,0.3428,yellow
16,5.69,0.0,20.92,9,0.857,1,545.2,47.4,46,1,0.5231,orange
0,0.0,0.0,0.0,6,0.518,0,408.9,192.2,15,0,0.1327,green
3,5.94,15.29,40.93,3,0.847,1,214.2,450.3,86,1,0.3494,yellow
3,9.1,0.0,0.0,8,0.937,1,562.0,242.0,86,0,0.4066,yellow
7,9.48,30.85,65.0,4,0.531,0,590.6,325.8,31,1,0.3425,yellow
6,2.27,0.0,0.0,9,0.847,1,389.1,145.4,76,0,0.3372,yellow
3,4.49,0.0,21.46,11,0.643,0,685.9,474.2,87,0,0.3024,yellow
13,1.56,0.0,0.0,0,0.0,0,758.4,253.7,74,0,0.2247,green
5,5.77,0.0,0.95,9,0.68,0,245.7,144.6,85,1,0.3668,yellow
2,2.49,0.0,5.08,7,0.209,0,230.0,423.4,74,1,0.2518,yellow
10,4.53,0.0,0.0,11,0.961,1,318.2,476.2,47,0,0.4445,yellow
4,4.93,0.0,2.37,2,0.176,0,328.4,16.4,5,0,0.1251,green
1,7.28,0.0,26.62,10,0.521,0,786.4,381.1,12,1,0.297,yellow
0,0.0,1.61,15.21,10,0.667,0,297.6,286.9,85,0,0.2304,green
11,1.11,0.0,0.0,9,0.784,1,426.2,280.5,42,0,0.3751,yellow
4,3.21,0.0,0.0,2,0.895,1,200.3,451.7,53,0,0.2346,green
0,0.0,8.07,44.28,8,0.761,1,423.0,202.3,34,1,0.283,yellow
16,8.09,0.0,0.0,3,0.386,0,544.3,213.6,64,0,0.3338,yellow
12,9.77,0.0,0.0,6,0.506,0,332.5,29.1,64,0,0.3649,yellow
4,7.47,0.0,0.0,7,0.58,0,510.0,381.8,18,0,0.248,yellow
